tract,County,City,Zip code,%HeatSev_Area,poverty,asthma,pm2.5,Percent canopy 2018,%HeatSev_Area_Stdev,pov_Stdev,asthma_Stdev,pm2.5_Stdev,Vulnerability,canopy 2018_Stdev
6079010016,San Luis Obispo,Paso Robles,93446,0.138613997,37.3,42.26,6.355758091,0.79,-1.319869018,0.381198748,-0.09170453,-1.840992208,-2.871367008,-1.4972106
6083002402,Santa Barbara,Santa Maria,93455,0.525932691,51,48.8,7.624774881,2.36,-0.0490201,1.136649734,0.290173973,0.30967266,1.687476267,-1.330179916
6083002303,Santa Barbara,Santa Maria,93458,0.874475564,51.3,53.87,7.726091887,4.07,1.094599713,1.153192456,0.586217401,0.48137955,3.315389119,-1.148254777
6083002210,Santa Barbara,Santa Maria,93454,0.905379499,33,82.18,7.828329321,4.38,1.196000017,0.144086395,2.239272514,0.654646333,4.234005259,-1.115274196
6083002305,Santa Barbara,Santa Maria,93458,0.974560279,44.6,55.35,7.778135479,4.41,1.422992209,0.783738324,0.672636389,0.569580372,3.448947295,-1.112082527
6079013000,San Luis Obispo,Cambria,93428,0.095617472,19.1,19.63,6.628043631,4.73,-1.460946865,-0.622393072,-1.41309758,-1.379536576,-4.875974092,-1.078038056
6079010503,San Luis Obispo,Morro Bay,93442,0.470644241,20.6,39.13,7.32136155,5.13,-0.23042954,-0.53967946,-0.274469013,-0.204536763,-1.249114776,-1.035482468
6083002103,Santa Barbara,Santa Maria,93454,0.854264555,57.5,82.18,7.567723582,5.37,1.028284457,1.495075384,2.239272514,0.212985032,4.975617386,-1.009949115
6079010504,San Luis Obispo,Cayucos,93430,0.604399764,23.1,36.58,6.915295891,5.58,0.208441769,-0.401823441,-0.423366595,-0.892716111,-1.509464378,-0.987607431
6079010300,San Luis Obispo,Shandon,93461,0.50566311,24.2,38.51,6.633930396,5.71,-0.11552754,-0.341166792,-0.310671562,-1.369559987,-2.136925882,-0.973776865
6083002007,Santa Barbara,Santa Maria,93455,0.811718138,24.2,40.26,7.688175461,5.81,0.888683481,-0.341166792,-0.208486948,0.417120727,0.756150468,-0.963137968
6083002209,Santa Barbara,Santa Maria,93454,0.997294664,45.6,82.18,7.822329665,5.92,1.497587028,0.838880732,2.239272514,0.644478423,5.220218696,-0.951435181
6083002306,Santa Barbara,Santa Maria,93458,0.763203301,25.1,54.45,7.806554192,6.26,0.72949925,-0.291538626,0.620084302,0.617742956,1.675787882,-0.915262931
6083002502,Santa Barbara,Santa Maria,93455,0.605624221,46.4,74.64,7.813763747,6.77,0.212459389,0.882994658,1.799002802,0.629961342,3.524418191,-0.861004556
6083002205,Santa Barbara,Santa Maria,93454,0.960356649,55.5,82.18,7.760086796,6.81,1.376388034,1.384790568,2.239272514,0.538992386,5.539443502,-0.856748998
6083002403,Santa Barbara,Santa Maria,93458,0.931573234,65.6,54.38,7.63721361,7.02,1.281945465,1.941728886,0.615996917,0.330753183,4.170424451,-0.834407314
6083002011,Santa Barbara,Santa Maria,93455,0.491142348,34.6,39.33,7.642081287,7.04,-0.163172272,0.232314247,-0.262790771,0.339002674,0.145353878,-0.832279534
6083002304,Santa Barbara,Santa Maria,93458,0.943467373,62.8,54.94,7.63721361,7.12,1.320971864,1.787330144,0.648695994,0.330753183,4.087751185,-0.823768417
6083002101,Santa Barbara,Santa Maria,93454,0.902118754,39.7,82.18,7.563985288,7.25,1.185301039,0.513540527,2.239272514,0.206649562,4.144763641,-0.809937851
6083002211,Santa Barbara,Santa Maria,93454,0.897833437,13.9,82.18,7.635205857,7.37,1.171240291,-0.909133592,2.239272514,0.327350546,2.828729759,-0.797171174
6083002013,Santa Barbara,Santa Maria,93455,0.05917604,6.1,41.05,7.568222653,7.53,-1.580516497,-1.339244372,-0.162357893,0.213830832,-2.86828793,-0.780148939
6079011103,San Luis Obispo,San Luis Obispo,93401,0.389394464,28.6,39.38,7.745331562,7.71,-0.497021865,-0.098540199,-0.259871211,0.513985969,-0.341447306,-0.760998924
6079012401,San Luis Obispo,Nipomo,93444,0.605453185,22,44.41,8.151778021,7.75,0.211898197,-0.462480089,0.033836568,1.202810677,0.986065352,-0.756743365
6083002009,Santa Barbara,Santa Maria,93455,0.80636873,20.4,41.11,7.66321049,8.33,0.871131296,-0.550707942,-0.15885442,0.374811368,0.536380302,-0.695037762
6083002010,Santa Barbara,Santa Maria,93455,0.787860335,8.8,41.11,7.660569906,8.49,0.810402562,-1.190359871,-0.15885442,0.370336241,-0.168475488,-0.678015527
6079010603,San Luis Obispo,Morro Bay,93442,0.851387149,28.9,39.13,7.312151496,8.79,1.018843269,-0.081997476,-0.274469013,-0.220145492,0.442231288,-0.646098836
6083002008,Santa Barbara,Santa Maria,93455,0.632821927,15.6,41.11,7.724757236,8.85,0.301699017,-0.815391499,-0.15885442,0.479117651,-0.193429251,-0.639715498
6079011704,San Luis Obispo,Pismo Beach,93449,0.408875115,14.3,22.49,7.878007914,9.13,-0.433103017,-0.887076629,-1.246098723,0.738839076,-1.827439293,-0.609926586
6083002102,Santa Barbara,Santa Maria,93454,0.615388152,29.4,82.18,7.548835273,9.27,0.244496266,-0.054426273,2.239272514,0.18097409,2.610316597,-0.59503213
6083002404,Santa Barbara,Santa Maria,93458,0.720119403,68.8,54.4,7.522110192,9.83,0.58813472,2.11818459,0.617164741,0.135681787,3.459165838,-0.535454307
6083002206,Santa Barbara,Santa Maria,93454,0.942051041,58.3,82.18,7.637161738,9.88,1.316324674,1.53918931,2.239272514,0.330665273,5.425451771,-0.530134858
6079011901,San Luis Obispo,Arroyo Grande,93420,0.130784684,19.7,44.99,8.341437907,9.97,-1.34555813,-0.589307627,0.067703469,1.524236569,-0.34292572,-0.520559851
6083002012,Santa Barbara,Santa Maria,93455,0.479046593,20.5,41.11,7.635794736,10.23,-0.202860202,-0.545193701,-0.15885442,0.328348548,-0.578559775,-0.492898719
6079010202,San Luis Obispo,Paso Robles,93446,0.439230824,32,45.34,6.686335948,10.33,-0.333501526,0.088943987,0.088140392,-1.280745733,-1.43716288,-0.482259821
6079012000,San Luis Obispo,Grover Beach,93433,0.919260867,33.5,41.84,8.432415171,10.39,1.241546801,0.171657599,-0.116228838,1.678420191,2.975395754,-0.475876483
6079010701,San Luis Obispo,Los Osos,93402,0.753944116,21.5,48.9,7.60932491,10.79,0.699118519,-0.490051293,0.296013094,0.283488838,0.788569158,-0.433320895
6079011902,San Luis Obispo,Arroyo Grande,93420,0.869232619,22.8,40.51,8.368560905,11.02,1.077396849,-0.418366163,-0.193889145,1.570203241,2.035344782,-0.408851432
6079011503,San Luis Obispo,San Luis Obispo,93401,0.504366956,12.4,37.22,7.63332592,11.11,-0.119780411,-0.991847203,-0.385996221,0.324164525,-1.173459311,-0.399276425
6079011400,San Luis Obispo,San Luis Obispo,93405,0,0,17.7,7.462760284,11.79,-1.774681684,-1.675613059,-1.525792612,0.035098593,-4.940988762,-0.326931925
6079012102,San Luis Obispo,Grover Beach,93433,0.50794457,28.4,52.89,8.392172224,12.22,-0.108041739,-0.10956868,0.528994016,1.610218499,1.921602097,-0.281184667
6079010901,San Luis Obispo,San Luis Obispo,93405,0.184715723,89.6,6.13,7.418845494,12.37,-1.168602555,3.26514667,-2.201378895,-0.039325951,-0.14416073,-0.265226322
6083002006,Santa Barbara,Santa Maria,93454,0.208890376,17.6,44.33,7.233841958,12.87,-1.089282007,-0.705106683,0.029165271,-0.352860499,-2.118083918,-0.212031836
6079010201,San Luis Obispo,Paso Robles,93446,0.114535027,18.7,46.01,6.881490083,13.03,-1.398875617,-0.644450035,0.127262502,-0.950008468,-2.866071618,-0.195009601
6079012402,San Luis Obispo,Nipomo,93444,0.401237764,23.7,44.41,8.221643908,14.22,-0.458162277,-0.368737996,0.033836568,1.321215815,0.52815211,-0.068406726
6079011701,San Luis Obispo,Pismo Beach,93449,0.683836362,19.3,19.22,7.935119847,14.52,0.469084791,-0.61136459,-1.437037975,0.835629465,-0.74368831,-0.036490035
6083002005,Santa Barbara,Santa Maria,93455,0.441092714,18.1,41.11,7.472104708,15.46,-0.327392392,-0.677535479,-0.15885442,0.050935046,-1.112847246,0.063515597
6079012800,San Luis Obispo,Atascadero,93422,0.945755535,59.1,39.02,6.495366579,16.07,1.328479656,1.583303236,-0.280892046,-1.60439087,1.026499976,0.128412869
6079011300,San Luis Obispo,San Luis Obispo,93405,0.241020307,29,17.69,7.690700536,16.64,-0.983859033,-0.076483236,-1.526376524,0.421400095,-2.165318697,0.189054582
6079010205,San Luis Obispo,Paso Robles,93446,0.067981999,17.8,46.01,7.149373973,16.65,-1.551622867,-0.694078202,0.127262502,-0.496012528,-2.614451094,0.190118472
6079011102,San Luis Obispo,San Luis Obispo,93401,0.961794229,29.9,39.38,7.999948395,17.14,1.381104943,-0.026855069,-0.259871211,0.945497578,2.039876242,0.242249067
6079012200,San Luis Obispo,Oceano,93445,0.443320378,29.6,62.48,8.450623037,17.43,-0.320083103,-0.043397791,1.088965706,1.709277953,2.434762766,0.273101869
6079010204,San Luis Obispo,Paso Robles,93446,0.01038961,26.4,46.01,7.003592275,17.44,-1.740591863,-0.219853496,0.127262502,-0.743075907,-2.576258764,0.274165759
6079011504,San Luis Obispo,San Luis Obispo,93401,6.16363E-06,11,18.34,7.233526944,18.04,-1.774661461,-1.069046574,-1.488422239,-0.353394369,-4.685524642,0.337999141
6079010102,San Luis Obispo,Paso Robles,93446,0.143742672,49.6,46.01,7.276708798,18.51,-1.303041089,1.059450363,0.127262502,-0.280211967,-0.396540192,0.388001957
6079011002,San Luis Obispo,San Luis Obispo,93401,0.281123308,41.7,37.53,7.515084483,20.02,-0.852275259,0.623825342,-0.367894947,0.123774974,-0.47256989,0.548649302
6079012304,San Luis Obispo,Nipomo,93444,0.283402642,10.7,39.09,8.258622087,21.4,-0.844796433,-1.085589296,-0.276804662,1.383884545,-0.823305846,0.695466082
6079010902,San Luis Obispo,San Luis Obispo,93405,0.847765512,84.6,15.26,7.908221172,22.22,1.006960152,2.989434632,-1.668267161,0.790042964,3.118170587,0.782705037
6079010602,San Luis Obispo,Morro Bay,93442,0.316585348,25.1,39.13,7.689424145,22.25,-0.735919154,-0.291538626,-0.274469013,0.419236933,-0.88268986,0.785896707
6079011800,San Luis Obispo,Arroyo Grande,93420,0.361092331,9.6,42.93,8.142608717,22.76,-0.589885275,-1.146245945,-0.052582421,1.187271009,-0.601442632,0.840155081
6079011200,San Luis Obispo,San Luis Obispo,93405,0.73761986,58.2,17.46,7.545736208,22.77,0.645556262,1.533675069,-1.539806502,0.175721953,0.815146781,0.841218971
6079012900,San Luis Obispo,Templeton,93465,0.185777604,10.4,29.27,6.4570931,23.26,-1.165118369,-1.102132019,-0.850206329,-1.669254808,-4.786711525,0.893349567
6079012704,San Luis Obispo,Templeton,93465,0.399004631,12.5,34.41,6.279150538,23.51,-0.46548951,-0.986332962,-0.550075517,-1.970822778,-3.972720767,0.919946809
6079011001,San Luis Obispo,San Luis Obispo,93401,0.966552474,28.9,39.38,7.561887519,23.66,1.396717438,-0.081997476,-0.259871211,0.20309437,1.25794312,0.935905155
6079011501,San Luis Obispo,San Luis Obispo,93401,0.130598058,36.4,39.38,7.946834218,24.16,-1.346170479,0.331570581,-0.259871211,0.855482383,-0.418988726,0.98909964
6079010703,San Luis Obispo,Los Osos,93402,0.661393771,41.4,47.9,7.553298967,24.41,0.395447388,0.60728262,0.237621886,0.18853893,1.428890824,1.015696883
6079010101,San Luis Obispo,Paso Robles,93446,0.127431762,18.5,46.01,6.616861413,24.43,-1.356559555,-0.655478516,0.127262502,-1.398487628,-3.283263198,1.017824662
6079012505,San Luis Obispo,Atascadero,93422,0.709892588,13.2,34.9,6.089092544,24.44,0.554579053,-0.947733277,-0.521463825,-2.292923363,-3.207541412,1.018888552
6079011101,San Luis Obispo,San Luis Obispo,93401,0.791469242,50.4,38.73,7.953049878,24.85,0.822243909,1.103564289,-0.297825497,0.866016366,2.493999067,1.06250803
6079010707,San Luis Obispo,Los Osos,93402,0.491236349,17.7,40.06,7.225715777,25.47,-0.162863841,-0.699592442,-0.220165189,-0.366632336,-1.449253809,1.128469191
6079012702,San Luis Obispo,Santa Margarita,93453,0.284719097,18,28.03,6.428799647,26.47,-0.840476955,-0.68304972,-0.922611428,-1.717205108,-4.16334321,1.234858162
6079012503,San Luis Obispo,Atascadero,93422,0.834947855,30.5,39.02,6.379802391,27.2,0.964903558,0.006230376,-0.280892046,-1.800243156,-1.110001268,1.31252211
6079012302,San Luis Obispo,Arroyo Grande,93420,0.000690192,16.1,31.54,7.217408085,28.13,-1.772417064,-0.787820295,-0.717658286,-0.380711788,-3.658607433,1.411463853
6079011600,San Luis Obispo,San Luis Obispo,93405,0.407749621,10.7,29.43,7.414675547,33.48,-0.436795927,-1.085589296,-0.840863736,-0.046392965,-2.409641924,1.980644845
6079010403,San Luis Obispo,Cambria,93428,0.43369027,20.2,33.52,6.853275783,34.09,-0.351680886,-0.561736423,-0.602043693,-0.997824623,-2.513285626,2.045542117
6079012502,San Luis Obispo,Atascadero,93422,0.817625906,27.2,39.02,5.948879566,39.6,0.908067726,-0.175739569,-0.280892046,-2.53054916,-2.079113049,2.631745344
6079012600,San Luis Obispo,Atascadero,93422,0.680455335,20.3,39.02,6.174587823,40.37,0.457991149,-0.556222182,-0.280892046,-2.148030329,-2.527153409,2.713664852
6079010404,San Luis Obispo,Cambria,93428,0.37145958,31,33.52,7.054541473,41.8,-0.555868824,0.03380158,-0.602043693,-0.656729807,-1.780840745,2.865801079